date,temp_c,temp_f,max_temp_f,min_temp_f,humidity,rain_mm,rain_in
2024-07-19,24.0,75.3,87.7,67.1,75,0.19,0.01
2024-07-20,23.4,74.0,81.6,69.0,89,7.59,0.3
2024-07-21,25.4,77.7,92.5,66.4,74,3.35,0.13
2024-07-22,24.1,75.4,88.4,68.0,82,6.42,0.25
2024-07-23,25.5,77.9,89.8,68.8,79,7.36,0.29
2024-07-24,25.5,77.9,89.4,70.9,78,6.62,0.26
2024-07-25,21.6,70.9,73.8,69.8,96,6.91,0.27
2024-07-26,23.6,74.5,83.2,68.4,79,0.95,0.04
2024-07-27,24.3,75.7,87.5,66.6,70,0.0,0.0
2024-07-28,25.4,77.6,91.0,66.0,64,0.0,0.0
2024-07-29,23.6,74.5,81.6,69.6,76,3.0,0.12
2024-07-30,25.1,77.2,89.8,69.4,81,1.95,0.08
2024-07-31,26.1,78.9,93.0,71.2,74,5.38,0.21
2024-08-01,26.6,79.9,94.5,71.8,73,5.82,0.23
2024-08-02,27.6,81.7,97.2,71.4,71,2.4,0.09
2024-08-03,25.0,77.1,91.2,69.5,79,10.3,0.41
2024-08-04,23.9,75.0,89.5,67.2,82,5.22,0.21
2024-08-05,26.0,78.7,89.7,70.0,74,0.0,0.0
2024-08-06,25.0,77.0,87.1,69.6,81,0.02,0.0
2024-08-07,25.6,78.0,90.4,69.7,80,0.03,0.0
2024-08-08,23.3,74.0,77.5,72.3,95,9.5,0.37
2024-08-09,23.6,74.4,81.0,71.6,93,18.25,0.72
2024-08-10,26.3,79.3,91.1,70.4,68,0.06,0.0
2024-08-11,24.7,76.5,88.1,66.8,58,0.0,0.0
2024-08-12,24.5,76.2,88.5,66.2,52,0.0,0.0
2024-08-13,21.8,71.2,77.7,66.0,83,10.25,0.4
2024-08-14,22.2,71.9,83.7,63.3,74,0.02,0.0
2024-08-15,23.7,74.6,86.1,66.1,66,0.02,0.0
2024-08-16,23.3,74.0,79.4,68.9,72,0.08,0.0
2024-08-17,25.7,78.3,92.8,67.4,72,3.2,0.13
2024-08-18,23.9,75.0,90.4,67.1,80,11.34,0.45
2024-08-19,22.5,72.5,81.9,65.5,76,2.33,0.09
2024-08-20,20.9,69.7,80.6,59.9,60,0.0,0.0
2024-08-21,19.7,67.4,78.1,58.8,54,0.0,0.0
2024-08-22,20.1,68.1,78.1,57.6,72,0.6,0.02
2024-08-23,20.3,68.5,80.8,57.3,65,0.0,0.0
2024-08-24,21.7,71.1,86.0,58.1,60,0.0,0.0
2024-08-25,23.5,74.2,89.2,61.1,59,0.0,0.0
2024-08-26,25.2,77.3,92.4,64.1,58,0.0,0.0
2024-08-27,27.4,81.4,97.0,68.3,55,0.01,0.0
2024-08-28,28.9,84.0,99.1,71.6,52,0.08,0.0
2024-08-29,27.3,81.1,95.4,70.1,64,14.08,0.55
2024-08-30,22.8,73.0,78.8,68.1,88,0.38,0.01
2024-08-31,25.6,78.0,89.7,70.5,80,7.06,0.28
2024-09-01,24.0,75.2,88.1,68.2,83,7.18,0.28
2024-09-02,23.3,74.0,84.0,69.1,80,1.68,0.07
2024-09-03,19.3,66.8,76.7,58.5,49,0.0,0.0
2024-09-04,18.9,66.1,77.4,55.9,71,0.0,0.0
2024-09-05,19.8,67.6,80.3,58.9,71,0.0,0.0
2024-09-06,20.7,69.2,81.7,59.3,75,0.02,0.0
2024-09-07,21.4,70.5,80.7,63.7,68,0.03,0.0
2024-09-08,17.7,63.9,77.7,51.7,50,0.0,0.0
2024-09-09,18.4,65.2,80.9,51.8,45,0.0,0.0
2024-09-10,21.3,70.3,86.6,57.3,58,0.0,0.0
2024-09-11,20.6,69.0,82.8,57.9,58,0.0,0.0
2024-09-12,20.2,68.3,79.5,58.2,67,0.0,0.0
2024-09-13,22.0,71.5,84.1,63.6,70,0.07,0.0
2024-09-14,23.0,73.4,84.6,65.0,69,0.05,0.0
2024-09-15,21.4,70.6,83.2,61.0,71,0.02,0.0
2024-09-16,17.3,63.2,66.5,61.0,92,38.66,1.52
2024-09-17,20.0,68.1,72.1,63.8,96,184.04,7.25
2024-09-18,22.6,72.7,80.1,68.5,88,0.0,0.0
2024-09-19,20.7,69.3,73.5,66.5,89,37.05,1.46
2024-09-20,24.1,75.3,84.2,67.8,78,0.0,0.0
2024-09-21,24.8,76.7,83.5,69.9,74,11.66,0.46
2024-09-22,24.2,75.5,79.9,71.5,83,0.0,0.0
2024-09-23,21.6,70.8,74.3,67.0,74,0.0,0.0
2024-09-24,22.8,73.0,77.0,70.6,90,6.38,0.25
2024-09-25,24.1,75.4,80.4,70.3,86,26.9,1.06
2024-09-26,24.4,75.9,79.6,71.7,81,0.0,0.0
2024-09-27,22.9,73.2,75.6,71.9,95,68.58,2.7
2024-09-28,23.2,73.7,80.3,63.3,77,8.12,0.32
2024-09-29,23.8,74.9,80.4,70.0,77,3.5,0.14
2024-09-30,22.6,72.6,77.7,66.6,87,22.66,0.89
2024-10-01,20.1,68.2,70.1,67.0,92,4.98,0.2
2024-10-02,21.6,70.8,79.0,65.6,80,0.0,0.0
2024-10-03,21.3,70.3,78.6,66.6,84,0.01,0.0
2024-10-04,19.5,67.0,70.8,64.1,92,0.0,0.0
2024-10-05,21.6,70.8,79.0,63.5,78,0.0,0.0
2024-10-06,20.7,69.3,80.6,59.5,79,0.0,0.0
2024-10-07,21.8,71.2,79.6,64.9,61,0.0,0.0
2024-10-08,17.1,62.8,68.8,57.5,58,0.0,0.0
2024-10-09,16.9,62.4,72.5,52.0,62,0.0,0.0
2024-10-10,16.4,61.5,68.8,54.5,46,0.0,0.0
2024-10-11,14.1,57.4,67.0,47.4,61,0.0,0.0
2024-10-12,17.8,64.0,79.1,50.4,58,0.0,0.0
2024-10-13,20.2,68.4,80.4,55.1,56,0.0,0.0
2024-10-14,18.8,65.9,69.0,61.8,55,0.0,0.0
2024-10-15,11.4,52.6,56.7,48.1,58,0.0,0.0
2024-10-16,11.1,52.0,58.9,45.1,59,0.0,0.0
2024-10-17,11.1,52.0,61.9,44.5,60,0.0,0.0
2024-10-18,13.2,55.7,69.6,43.7,55,0.0,0.0
2024-10-19,15.0,59.1,71.6,49.1,49,0.0,0.0
2024-10-20,15.3,59.5,71.0,47.2,59,0.0,0.0
2024-10-21,16.9,62.5,74.5,51.0,67,0.0,0.0
2024-10-22,15.4,59.7,73.9,41.9,69,0.0,0.0
2024-10-23,18.0,64.4,78.5,50.4,69,0.0,0.0
2024-10-24,17.1,62.8,67.7,56.6,59,0.0,0.0
2024-10-25,14.5,58.1,72.9,43.6,71,0.0,0.0
2024-10-26,18.5,65.2,79.7,57.4,73,0.65,0.03
2024-10-27,11.8,53.2,61.3,46.3,57,0.0,0.0
2024-10-28,12.1,53.7,56.2,51.3,69,0.0,0.0
2024-10-29,15.6,60.2,64.0,56.3,68,0.0,0.0
2024-10-30,18.9,66.0,73.8,58.7,73,0.0,0.0
2024-10-31,18.8,65.9,73.9,61.6,78,0.0,0.0
2024-11-01,16.2,61.2,67.6,50.6,78,0.86,0.03
2024-11-02,10.3,50.5,61.4,41.8,65,0.0,0.0
2024-11-03,12.2,54.0,62.7,46.4,59,0.0,0.0
2024-11-04,10.4,50.7,54.1,46.8,75,0.0,0.0
2024-11-05,14.4,57.9,65.6,52.2,87,0.0,0.0
2024-11-06,19.0,66.1,71.1,61.3,84,0.0,0.0
2024-11-07,18.7,65.6,70.6,63.4,92,7.88,0.31
2024-11-08,19.7,67.5,77.7,59.5,77,0.0,0.0
2024-11-09,13.6,56.5,61.3,50.3,50,0.0,0.0
2024-11-10,10.4,50.6,57.1,41.6,72,0.0,0.0
2024-11-11,18.2,64.8,76.6,56.1,81,3.3,0.13
2024-11-12,14.2,57.6,61.5,52.1,58,0.0,0.0
2024-11-13,8.5,47.2,54.1,40.4,56,0.0,0.0
2024-11-14,6.7,44.0,45.9,41.9,85,21.52,0.85
2024-11-15,11.8,53.3,59.7,47.7,80,14.94,0.59
2024-11-16,12.4,54.3,61.0,51.4,67,0.0,0.0
2024-11-17,10.7,51.2,59.1,41.7,71,0.0,0.0
2024-11-18,12.6,54.7,66.3,44.9,74,0.0,0.0
2024-11-19,14.8,58.7,68.2,50.5,68,0.14,0.01
2024-11-20,16.1,60.9,64.5,52.5,85,49.34,1.94
2024-11-21,7.8,46.0,49.0,42.0,48,0.0,0.0
2024-11-22,5.9,42.7,51.3,35.5,52,0.0,0.0
2024-11-23,8.6,47.5,56.4,41.5,64,0.0,0.0
2024-11-24,9.7,49.4,61.2,38.0,65,0.0,0.0
2024-11-25,10.5,50.9,61.1,40.0,73,0.0,0.0
2024-11-26,13.8,56.9,64.5,51.5,68,0.0,0.0
2024-11-27,9.0,48.2,55.3,38.3,59,0.0,0.0
2024-11-28,12.6,54.6,59.4,50.0,85,10.27,0.4
2024-11-29,6.0,42.7,49.9,36.4,59,0.0,0.0
2024-11-30,3.0,37.4,42.1,32.3,42,0.0,0.0
2024-12-01,5.5,41.9,47.9,36.8,38,0.0,0.0
2024-12-02,2.5,36.4,40.7,32.2,44,0.0,0.0
2024-12-03,1.6,34.9,41.6,29.2,43,0.0,0.0
2024-12-04,2.1,35.8,45.4,28.0,47,0.0,0.0
2024-12-05,1.8,35.3,38.2,27.8,51,0.0,0.0
2024-12-06,-0.9,30.4,36.9,25.7,43,0.0,0.0
2024-12-07,1.8,35.3,45.8,27.0,36,0.0,0.0
2024-12-08,7.7,45.9,58.6,35.7,53,0.0,0.0
2024-12-09,10.3,50.6,54.8,45.2,76,14.19,0.56
2024-12-10,12.2,54.0,60.6,48.5,96,11.56,0.46
2024-12-11,8.1,46.6,58.5,36.4,86,61.89,2.44
2024-12-12,4.1,39.5,46.5,34.9,51,0.0,0.0
2024-12-13,4.9,40.8,47.1,34.4,44,0.0,0.0
2024-12-14,3.8,38.8,42.1,35.5,58,0.0,0.0
2024-12-15,2.5,36.4,38.4,34.5,75,0.0,0.0
2024-12-16,6.8,44.2,50.0,39.4,89,0.0,0.0
2024-12-17,11.2,52.2,53.8,50.8,97,0.0,0.0
2024-12-18,11.0,51.9,57.4,47.3,96,0.0,0.0
2024-12-19,9.0,48.1,60.3,42.5,70,5.02,0.2
2024-12-20,5.3,41.6,45.0,38.0,70,0.0,0.0
2024-12-21,4.3,39.7,44.3,33.9,57,0.0,0.0
2024-12-22,-0.0,31.9,36.4,28.1,43,0.0,0.0
2024-12-23,0.1,32.2,38.0,27.8,39,0.0,0.0
2024-12-24,3.4,38.2,46.8,29.6,53,0.0,0.0
2024-12-25,3.7,38.7,39.5,37.5,77,0.0,0.0
2024-12-26,3.7,38.6,41.2,35.8,78,0.0,0.0
2024-12-27,4.3,39.7,42.0,36.9,73,0.0,0.0
2024-12-28,4.0,39.2,43.0,36.1,97,5.79,0.23
2024-12-29,13.4,56.2,62.0,46.0,94,63.36,2.49
2024-12-30,14.6,58.3,61.5,54.2,73,0.0,0.0
2024-12-31,8.8,47.9,49.3,46.1,90,0.0,0.0
2025-01-01,7.5,45.4,50.6,38.4,60,0.0,0.0
2025-01-02,3.4,38.1,45.6,32.5,51,0.0,0.0
2025-01-03,3.7,38.6,44.1,34.5,50,0.0,0.0
2025-01-04,0.1,32.2,39.7,26.4,38,0.0,0.0
2025-01-05,1.2,34.2,40.9,30.3,33,0.0,0.0
2025-01-06,1.0,33.8,38.5,31.5,93,54.86,2.16
2025-01-07,-1.6,29.1,34.5,24.9,67,0.0,0.0
2025-01-08,-2.3,27.9,34.3,23.8,61,0.0,0.0
2025-01-09,-1.4,29.5,37.2,24.1,45,0.0,0.0
2025-01-10,-1.9,28.6,33.7,25.1,58,3.02,0.12
2025-01-11,1.7,35.0,43.6,29.3,72,26.28,1.03
2025-01-12,0.3,32.6,41.0,25.9,60,0.0,0.0
2025-01-13,4.1,39.4,49.2,31.6,58,0.0,0.0
2025-01-14,1.0,33.8,41.4,28.0,53,0.0,0.0
2025-01-15,-1.1,30.0,36.7,23.1,46,0.0,0.0
